episode,return,steps,epsilon,end_reason
156,-87.44,600,0.9156,timeout
157,-133.74,345,0.9151,enemy
158,-287.3,600,0.9145,timeout
159,-365.01,600,0.914,timeout
160,-75.19,600,0.9134,timeout
161,-123.09,600,0.9129,timeout
162,-424.03,600,0.9123,timeout
163,-55.72,600,0.9118,timeout
164,-270.19,600,0.9113,timeout
165,-106.95,600,0.9107,timeout
166,-86.18,600,0.9102,timeout
167,-114.19,597,0.9096,enemy
168,-81.89,294,0.9091,enemy
169,-86.98,600,0.9085,timeout
170,-160.64,595,0.908,enemy
171,-121.08,600,0.9074,timeout
172,-87.92,600,0.9069,timeout
173,-169.08,600,0.9064,timeout
174,-85.84,600,0.9058,timeout
175,-82.23,600,0.9053,timeout
176,-332.58,411,0.9047,enemy
177,-39.41,600,0.9042,timeout
178,-172.45,600,0.9036,timeout
179,-570.67,600,0.9031,timeout
180,-88.29,600,0.9025,timeout
181,-51.22,600,0.902,timeout
182,-74.5,600,0.9015,timeout
183,-84.26,600,0.9009,timeout
184,-78.23,600,0.9004,timeout
185,-85.78,600,0.8998,timeout
186,-236.04,411,0.8993,enemy
187,-535.08,600,0.8987,timeout
188,-99.39,475,0.8982,enemy
189,-100.0,304,0.8976,enemy
190,-80.94,600,0.8971,timeout
191,-86.91,600,0.8966,timeout
192,-87.99,600,0.896,timeout
193,-299.47,600,0.8955,timeout
194,-109.15,600,0.8949,timeout
195,-80.53,600,0.8944,timeout
196,-139.18,580,0.8938,enemy
197,-227.47,600,0.8933,timeout
198,-105.24,531,0.8927,enemy
199,-83.16,354,0.8922,enemy
200,-86.32,600,0.8917,timeout
201,-77.41,244,0.8911,enemy
202,-69.38,223,0.8906,enemy
203,-86.89,600,0.89,timeout
204,-92.12,600,0.8895,timeout
205,-308.45,594,0.8889,enemy
206,-271.26,474,0.8884,enemy
207,-72.73,600,0.8878,timeout
208,-78.9,600,0.8873,timeout
209,-484.61,600,0.8868,timeout
210,-245.63,300,0.8862,enemy
211,-270.07,312,0.8857,enemy
212,-57.46,600,0.8851,timeout
213,-80.18,600,0.8846,timeout
214,-72.99,600,0.884,timeout
215,-102.01,485,0.8835,enemy
216,-102.66,523,0.8829,enemy
217,-238.63,600,0.8824,timeout
218,-84.58,600,0.8819,timeout
219,-207.09,417,0.8813,enemy
220,-299.38,600,0.8808,timeout
221,-84.17,352,0.8802,enemy
222,-0.46,480,0.8797,enemy
223,-106.13,294,0.8791,enemy
224,-191.98,600,0.8786,timeout
225,-274.31,600,0.878,timeout
226,-380.73,528,0.8775,enemy
227,-280.1,354,0.877,enemy
228,-60.28,104,0.8764,enemy
229,-110.79,107,0.8759,enemy
230,-84.63,600,0.8753,timeout
231,-80.18,600,0.8748,timeout
232,-322.28,591,0.8742,enemy
233,-81.83,600,0.8737,timeout
234,-397.28,581,0.8731,enemy
235,-353.9,600,0.8726,timeout
236,-103.67,524,0.8721,enemy
237,-525.35,600,0.8715,timeout
238,-432.44,600,0.871,timeout
239,-314.53,402,0.8704,enemy
240,-434.62,539,0.8699,enemy
241,-78.82,239,0.8693,enemy
242,-281.66,600,0.8688,timeout
243,-346.31,600,0.8682,timeout
244,-242.79,600,0.8677,timeout
245,-326.58,600,0.8672,timeout
246,-439.04,600,0.8666,timeout
247,-75.07,600,0.8661,timeout
248,-413.79,600,0.8655,timeout
249,-80.71,600,0.865,timeout
250,-84.01,600,0.8644,timeout
251,-48.9,600,0.8639,timeout
252,-44.05,600,0.8633,timeout
253,-80.71,600,0.8628,timeout
254,-99.28,357,0.8623,enemy
255,-80.8,600,0.8617,timeout
256,-147.36,453,0.8612,enemy
257,-86.96,600,0.8606,timeout
258,-84.19,600,0.8601,timeout
259,-329.74,479,0.8595,enemy
260,-60.51,600,0.859,timeout
261,-60.46,600,0.8584,timeout
262,-610.48,600,0.8579,timeout
263,-316.35,471,0.8574,enemy
264,-88.81,380,0.8568,enemy
265,-59.38,600,0.8563,timeout
266,-84.48,300,0.8557,enemy
267,-111.28,178,0.8552,enemy
268,-336.63,435,0.8546,enemy
269,-438.54,579,0.8541,enemy
270,-107.34,108,0.8535,enemy
271,-309.25,417,0.853,enemy
272,-87.2,296,0.8525,enemy
273,-61.13,600,0.8519,timeout
274,-298.06,537,0.8514,enemy
275,-439.94,536,0.8508,enemy
276,-66.54,172,0.8503,enemy
277,-458.56,600,0.8497,timeout
278,-81.97,600,0.8492,timeout
279,-80.27,600,0.8486,timeout
280,-93.34,412,0.8481,enemy
281,-84.2,600,0.8476,timeout
282,-215.8,600,0.847,enemy
283,-594.78,600,0.8465,timeout
284,-213.09,600,0.8459,timeout
285,-195.93,292,0.8454,enemy
286,-119.99,350,0.8448,enemy
287,-102.86,463,0.8443,enemy
288,-79.04,241,0.8437,enemy
289,-80.22,600,0.8432,timeout
290,-55.96,600,0.8427,timeout
291,-97.26,423,0.8421,enemy
292,-80.07,600,0.8416,timeout
293,-216.17,600,0.841,timeout
294,-430.78,472,0.8405,enemy
295,-97.71,422,0.8399,enemy
296,-95.87,418,0.8394,enemy
297,-249.61,467,0.8388,enemy
298,-78.25,241,0.8383,enemy
299,-85.87,600,0.8378,timeout
300,-424.74,476,0.8372,enemy
301,-89.01,600,0.8367,timeout
302,-414.79,541,0.8361,enemy
303,-87.08,600,0.8356,timeout
304,-79.94,600,0.835,timeout
305,-267.16,412,0.8345,enemy
306,-87.67,600,0.8339,timeout
307,-112.87,594,0.8334,enemy
308,-87.46,600,0.8329,timeout
309,-76.11,600,0.8323,timeout
310,-105.96,600,0.8318,timeout
311,-217.35,600,0.8312,timeout
312,-100.47,404,0.8307,enemy
313,-394.39,589,0.8301,enemy
314,-180.59,600,0.8296,timeout
315,-162.29,600,0.829,timeout
316,-87.98,600,0.8285,timeout
317,-360.82,600,0.828,timeout
318,-123.71,600,0.8274,timeout
319,-72.21,183,0.8269,enemy
320,-109.44,580,0.8263,enemy
321,-363.77,535,0.8258,enemy
322,-229.43,600,0.8252,timeout
323,-158.79,413,0.8247,enemy
324,-94.39,357,0.8241,enemy
325,-98.08,600,0.8236,timeout
326,-112.55,173,0.8231,enemy
327,-183.94,475,0.8225,enemy
328,-102.39,600,0.822,timeout
329,-119.09,240,0.8214,enemy
330,-82.0,600,0.8209,timeout
331,-91.02,346,0.8203,enemy
332,-159.76,470,0.8198,enemy
333,-84.21,600,0.8192,timeout
334,-87.65,600,0.8187,timeout
335,-87.46,600,0.8182,timeout
336,-87.63,600,0.8176,timeout
337,-104.04,600,0.8171,timeout
338,-196.8,600,0.8165,timeout
339,-37.52,600,0.816,timeout
340,-87.57,600,0.8154,timeout
341,-80.38,600,0.8149,timeout
342,-91.44,403,0.8143,enemy
343,-87.47,600,0.8138,timeout
344,-79.96,600,0.8133,timeout
345,-238.41,534,0.8127,enemy
346,-99.16,468,0.8122,enemy
347,-85.77,600,0.8116,timeout
348,-102.85,498,0.8111,enemy
349,-262.38,600,0.8105,timeout
350,-55.83,600,0.81,timeout
351,-352.0,600,0.8094,timeout
352,-85.93,600,0.8089,timeout
353,-156.1,600,0.8084,timeout
354,0.0,1,0.8078,enemy
355,-165.12,301,0.8073,enemy
356,-127.46,600,0.8067,timeout
357,-279.81,534,0.8062,enemy
358,-290.08,353,0.8056,enemy
359,-61.82,157,0.8051,enemy
360,-188.3,600,0.8045,timeout
361,-217.06,299,0.804,enemy
362,-86.65,600,0.8035,timeout
363,-294.88,362,0.8029,enemy
364,-308.35,476,0.8024,enemy
365,-58.04,600,0.8018,timeout
366,-76.91,283,0.8013,enemy
367,-84.68,600,0.8007,timeout
368,-216.93,405,0.8002,enemy
369,-150.33,300,0.7996,enemy
370,-116.99,589,0.7991,enemy
371,-88.89,348,0.7986,enemy
372,-508.48,589,0.798,enemy
373,-106.62,467,0.7975,enemy
374,-124.27,299,0.7969,enemy
375,-71.44,221,0.7964,enemy
376,-93.99,405,0.7958,enemy
377,-100.2,1,0.7953,enemy
378,-322.15,532,0.7947,enemy
379,-87.69,600,0.7942,timeout
380,-343.21,453,0.7937,enemy
381,-69.24,171,0.7931,enemy
382,-238.36,537,0.7926,enemy
383,-219.48,345,0.792,enemy
384,-93.55,349,0.7915,enemy
385,-88.47,600,0.7909,timeout
386,-211.0,375,0.7904,enemy
387,-54.97,600,0.7898,timeout
388,-135.24,298,0.7893,enemy
389,-105.93,600,0.7888,timeout
390,-73.85,169,0.7882,enemy
391,-305.66,483,0.7877,enemy
392,-70.97,178,0.7871,enemy
393,-230.05,590,0.7866,enemy
394,-112.39,433,0.786,enemy
395,-179.58,240,0.7855,enemy
396,-229.92,359,0.7849,enemy
397,-78.76,292,0.7844,enemy
398,-346.29,463,0.7839,enemy
399,-100.14,1,0.7833,enemy
400,-80.6,293,0.7828,enemy
401,-247.41,285,0.7822,enemy
402,-100.1,1,0.7817,enemy
403,30.43,168,0.7811,enemy
404,-97.09,423,0.7806,enemy
405,-123.07,301,0.78,enemy
406,-106.85,487,0.7795,enemy
407,-54.21,600,0.779,timeout
408,-274.81,365,0.7784,enemy
409,-302.54,600,0.7779,timeout
410,-84.72,600,0.7773,timeout
411,-88.41,357,0.7768,enemy
412,-425.81,600,0.7762,timeout
413,-278.62,477,0.7757,enemy
414,-128.02,600,0.7751,timeout
415,-70.46,600,0.7746,timeout
416,-75.54,165,0.7741,enemy
417,-62.49,150,0.7735,enemy
418,-347.46,405,0.773,enemy
419,-84.0,343,0.7724,enemy
420,-143.48,278,0.7719,enemy
421,-82.67,301,0.7713,enemy
422,-112.63,593,0.7708,enemy
423,-91.38,348,0.7702,enemy
424,-258.05,530,0.7697,enemy
425,-204.71,600,0.7692,timeout
426,-84.81,350,0.7686,enemy
427,-273.55,510,0.7681,enemy
428,-232.98,460,0.7675,enemy
429,-36.91,600,0.767,timeout
430,-112.2,600,0.7664,timeout
431,-73.18,220,0.7659,enemy
432,-162.69,355,0.7653,enemy
433,-79.99,600,0.7648,timeout
434,-87.09,373,0.7643,enemy
435,-277.72,480,0.7637,enemy
436,-252.66,462,0.7632,enemy
437,-258.33,533,0.7626,enemy
438,-94.51,418,0.7621,enemy
439,-97.01,467,0.7615,enemy
440,-81.8,292,0.761,enemy
441,-357.99,419,0.7604,enemy
442,-195.21,465,0.7599,enemy
443,-147.97,304,0.7594,enemy
444,-102.96,65,0.7588,enemy
445,-232.72,416,0.7583,enemy
446,-233.69,600,0.7577,timeout
447,-83.09,600,0.7572,timeout
448,-130.9,466,0.7566,enemy
449,-82.55,300,0.7561,enemy
450,-280.86,600,0.7555,timeout
451,-91.52,363,0.755,enemy
452,-53.16,600,0.7545,timeout
453,-97.3,514,0.7539,enemy
454,-79.99,600,0.7534,timeout
455,-151.49,600,0.7528,timeout
456,-303.45,534,0.7523,enemy
457,-230.8,426,0.7517,enemy
458,-278.54,347,0.7512,enemy
459,-84.34,600,0.7506,timeout
460,-225.43,600,0.7501,timeout
461,0.0,1,0.7496,enemy
462,-112.89,480,0.749,enemy
463,-75.91,232,0.7485,enemy
464,-70.62,220,0.7479,enemy
465,-87.44,600,0.7474,timeout
466,-54.38,600,0.7468,timeout
467,-74.9,278,0.7463,enemy
468,-249.87,587,0.7457,enemy
469,-82.07,600,0.7452,timeout
470,-81.71,600,0.7447,timeout
471,-100.59,488,0.7441,enemy
472,-163.37,600,0.7436,timeout
473,-208.84,600,0.743,timeout
474,-152.08,242,0.7425,enemy
475,-287.88,419,0.7419,enemy
476,-99.76,483,0.7414,enemy
477,-82.52,600,0.7408,timeout
478,-85.75,600,0.7403,timeout
479,-87.11,600,0.7398,timeout
480,-181.49,424,0.7392,enemy
481,-72.09,224,0.7387,enemy
482,-80.21,288,0.7381,enemy
483,-83.58,600,0.7376,timeout
484,-80.01,600,0.737,timeout
485,-249.21,474,0.7365,enemy
486,-84.16,600,0.7359,timeout
487,-209.66,413,0.7354,enemy
488,-264.34,541,0.7349,enemy
489,-71.29,600,0.7343,timeout
490,-259.12,355,0.7338,enemy
491,-221.05,540,0.7332,enemy
492,-149.51,227,0.7327,enemy
493,-92.31,408,0.7321,enemy
494,-233.44,400,0.7316,enemy
495,-79.95,600,0.731,timeout
496,-81.73,600,0.7305,timeout
497,-87.19,600,0.73,timeout
498,-279.27,294,0.7294,enemy
